update,cycle,active_n,transitions_per_arm,tokens_per_arm,shared_success,specialist_success,shared_loss,specialist_loss,shared_gradient_norm,specialist_gradient_norm,sample_replay_logp_max_error,prefix_replay_max_error,masked_probability_mass_max,elapsed_seconds
186,38,6,95232,381952,0.0,0.0,-0.01399485394358635,-0.018754543736577034,0.014934752136468887,0.0025443588383495808,0.0,0.0,0.0,528.1275216000067
187,38,5,95744,384512,0.0,0.0,-0.01249633077532053,-0.017045767977833748,0.011985138058662415,0.0015679115895181894,0.0,0.0,0.0,530.660045800003
188,38,2,96256,385536,0.0,0.0,-0.003947400953620672,-0.010473144240677357,0.03148438036441803,0.0034343937877565622,0.0,0.0,0.0,531.9898686000015
189,38,4,96768,387584,0.0,0.0,-0.010116451419889927,-0.01544947549700737,0.025544369593262672,0.001454991870559752,0.0,0.0,0.0,534.3360263000068
190,38,3,97280,389120,0.0,0.0,-0.008420197293162346,-0.012991825118660927,0.051043592393398285,0.0018383074784651399,0.0,0.0,0.0,536.0937890000059
191,39,4,97792,391168,0.0,0.0,-0.009895128197968006,-0.015448208898305893,0.03635304421186447,0.0019268132746219635,0.0,0.0,0.0,538.5021973000039
192,39,2,98304,392192,0.0,0.0,-0.003308589104562998,-0.010471487417817116,0.05551401898264885,0.002499225316569209,0.0,0.0,0.0,539.8624764000051
193,39,6,98816,395264,0.0,0.0,-0.013097049668431282,-0.01875489205121994,0.03202621266245842,0.001571747474372387,0.0,0.0,0.0,543.3054963000031
194,39,3,99328,396800,0.0,0.0,-0.008102764375507832,-0.01299054641276598,0.0576951801776886,0.0022367339115589857,0.0,0.0,0.0,545.3940223000027
195,39,5,99840,399360,0.0,0.0,-0.012022729031741619,-0.017045455053448677,0.026315104216337204,0.002086569555103779,0.0,0.0,0.0,549.307115100004
196,40,5,100352,401920,0.0,0.0,-0.012007923796772957,-0.01704556867480278,0.041916489601135254,0.0021736682392656803,0.0,0.0,0.0,553.1428107000029
197,40,6,100864,404992,0.0,0.0,-0.013100662268698215,-0.018752457574009895,0.03170975670218468,0.0025459607131779194,0.0,0.0,0.0,557.7789894000016
198,40,2,101376,406016,0.0,0.0,-0.003153052646666765,-0.010473262518644333,0.04382232949137688,0.0022710980847477913,0.0,0.0,0.0,560.077049200001
199,40,3,101888,407552,0.0,0.0,-0.00794204417616129,-0.012989331036806107,0.04261503368616104,0.002144883619621396,0.0,0.0,0.0,562.7030152000007
200,40,4,102400,409600,0.0,0.0,-0.00945673044770956,-0.01544962078332901,0.09897854179143906,0.0028403103351593018,0.0,0.0,0.0,565.8109994000042
201,41,3,102912,411136,0.0,0.0,-0.007908063009381294,-0.012991555035114288,0.09785564988851547,0.0018206535605713725,0.0,0.0,0.0,568.5339308000039
202,41,4,103424,413184,0.0,0.0,-0.009498733095824718,-0.015449799597263336,0.04339009150862694,0.0029710151720792055,0.0,0.0,0.0,571.4315778000018
203,41,2,103936,414208,0.0,0.0,-0.002953105606138706,-0.01047351211309433,0.00957496464252472,0.0017748697428032756,0.0,0.0,0.0,572.7635218000069
204,41,5,104448,416768,0.0,0.0,-0.011849158443510532,-0.017044300213456154,0.06940368562936783,0.002884641755372286,0.0,0.0,0.0,575.5166185000053
205,41,6,104960,419840,0.0,0.0,-0.012903685681521893,-0.018753843382000923,0.049054525792598724,0.002191107254475355,0.0,0.0,0.0,579.9580583000061
206,42,2,105472,420864,0.0,0.0,-0.0030117633286863565,-0.010472354479134083,0.13743065297603607,0.002303909743204713,0.0,0.0,0.0,581.6848021000042
207,42,5,105984,423424,0.0,0.0,-0.011722461320459843,-0.017045166343450546,0.02127859741449356,0.0026232122909277678,0.0,0.0,0.0,584.2674903000006
208,42,6,106496,426496,0.0,0.0,-0.012818636372685432,-0.018752019852399826,0.013355705887079239,0.0029342861380428076,0.0,0.0,0.0,587.5978196000069
209,42,4,107008,428544,0.0,0.0,-0.009188296273350716,-0.015449349768459797,0.03142210841178894,0.0031550400890409946,0.0,0.0,0.0,590.1117958000032
210,42,3,107520,430080,0.0,0.0,-0.007743800524622202,-0.012991023249924183,0.13511714339256287,0.0028432258404791355,0.0,0.0,0.0,591.8397404000061
211,43,3,108032,431616,0.0,0.0,-0.007835368625819683,-0.012991012074053288,0.03951556235551834,0.002682009246200323,0.0,0.0,0.0,593.5498820000066
212,43,5,108544,434176,0.0,0.0,-0.01153854001313448,-0.017046146094799042,0.033550363034009933,0.0020946827717125416,0.0,0.0,0.0,596.180838500004
213,43,2,109056,435200,0.0,0.0,-0.002798347268253565,-0.010473945178091526,0.026243014261126518,0.002529441611841321,0.0,0.0,0.0,598.0120703000066
214,43,4,109568,437248,0.0,0.0,-0.00939906481653452,-0.0154487369582057,0.04096956178545952,0.002634854521602392,0.0,0.0,0.0,600.4291591000001
215,43,6,110080,440320,0.0,0.0,-0.01282161008566618,-0.018753478303551674,0.017336810007691383,0.002598297316581011,0.0,0.0,0.0,603.2574702000056
216,44,4,110592,442368,0.0,0.0,-0.009467648342251778,-0.015450514853000641,0.027963481843471527,0.002803604584187269,0.0,0.0,0.0,605.6580092000004
217,44,5,111104,444928,0.0,0.0,-0.011801004409790039,-0.01704644039273262,0.02528788335621357,0.001916280365549028,0.0,0.0,0.0,609.5278288000045
218,44,3,111616,446464,0.0,0.0,-0.007993322797119617,-0.012992245145142078,0.050644535571336746,0.0017186421900987625,0.0,0.0,0.0,611.8746285000016
219,44,2,112128,447488,0.0,0.0,-0.003064118791371584,-0.010474655777215958,0.03084394708275795,0.002690710360184312,0.0,0.0,0.0,613.3165966000015
220,44,6,112640,450560,0.0,0.0,-0.012947660870850086,-0.018752465024590492,0.04079313203692436,0.002659308025613427,0.0,0.0,0.0,618.664730000004
